iter	Passed	Remaining
0	1	150
1	2	140
2	4	133
3	5	124
4	6	122
5	7	119
6	8	117
7	10	116
8	11	115
9	12	114
10	14	113
11	15	112
12	16	111
13	18	111
14	19	109
15	20	108
16	22	107
17	23	106
18	24	104
19	25	103
20	27	101
21	28	100
22	29	99
23	30	97
24	32	96
25	33	94
26	34	93
27	35	91
28	36	90
29	38	88
30	39	87
31	40	86
32	41	84
33	42	83
34	44	81
35	45	80
36	46	79
37	47	77
38	48	76
39	50	75
40	51	73
41	51	71
42	53	70
43	54	69
44	55	68
45	57	67
46	58	65
47	59	64
48	60	63
49	62	62
50	63	60
51	64	59
52	65	58
53	66	56
54	67	55
55	69	54
56	70	53
57	71	52
58	73	50
59	74	49
60	75	48
61	76	47
62	78	45
63	79	44
64	80	43
65	81	42
66	82	40
67	84	39
68	85	38
69	86	37
70	87	35
71	89	34
72	90	33
73	91	32
74	92	30
75	93	29
76	94	28
77	96	27
78	97	25
79	98	24
80	99	23
81	101	22
82	102	20
83	103	19
84	104	18
85	106	17
86	107	16
87	108	14
88	109	13
89	110	12
90	112	11
91	113	9
92	114	8
93	115	7
94	116	6
95	118	4
96	119	3
97	120	2
98	121	1
99	122	0
